Year,Driver Name,Driver Number,Race Location,Date,Session Name,Session Type,Fastest Lap Time
2024,Max Verstappen,1,"Lusail, Qatar",2024-11-30,Qualifying,Qualifying,1:20.520
2024,Max Verstappen,1,"Lusail, Qatar",2024-12-01,Race,Race,1:22.905
2024,Max Verstappen,1,"Yas Island, United Arab Emirates",2024-12-06,Practice 1,Practice,N/A
2024,Max Verstappen,1,"Yas Island, United Arab Emirates",2024-12-06,Practice 2,Practice,1:24.598
2024,Max Verstappen,1,"Yas Island, United Arab Emirates",2024-12-07,Practice 3,Practice,1:23.844
2024,Max Verstappen,1,"Yas Island, United Arab Emirates",2024-12-07,Qualifying,Qualifying,1:22.945
2024,Max Verstappen,1,"Yas Island, United Arab Emirates",2024-12-08,Race,Race,1:27.765
2025,Max Verstappen,1,"Sakhir, Bahrain",2025-02-26,Day 1,Practice,1:30.674
2025,Max Verstappen,1,"Sakhir, Bahrain",2025-02-27,Day 2,Practice,N/A
2025,Max Verstappen,1,"Sakhir, Bahrain",2025-02-28,Day 3,Practice,1:29.566
2025,Max Verstappen,1,"Melbourne, Australia",2025-03-14,Practice 1,Practice,1:17.696
2025,Max Verstappen,1,"Melbourne, Australia",2025-03-14,Practice 2,Practice,1:17.063
2025,Max Verstappen,1,"Melbourne, Australia",2025-03-15,Practice 3,Practice,N/A
2025,Max Verstappen,1,"Melbourne, Australia",2025-03-15,Qualifying,Qualifying,1:15.481
2025,Max Verstappen,1,"Melbourne, Australia",2025-03-16,Race,Race,1:23.081
2025,Max Verstappen,1,"Shanghai, China",2025-03-21,Practice 1,Practice,1:33.284
2025,Max Verstappen,1,"Shanghai, China",2025-03-21,Sprint Qualifying,Qualifying,1:30.867
2025,Max Verstappen,1,"Shanghai, China",2025-03-22,Sprint,Race,1:35.745
2025,Max Verstappen,1,"Shanghai, China",2025-03-22,Qualifying,Qualifying,1:30.817
2025,Max Verstappen,1,"Shanghai, China",2025-03-23,Race,Race,1:35.488
2025,Max Verstappen,1,"Suzuka, Japan",2025-04-04,Practice 1,Practice,1:29.065
